Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
Mica,1,9,93,7029.000000,1,1,1,12.834,1.242,0.000
Mica,1,10,74,5978.000000,1,1,1,10.212,1.380,0.000
Mica,1,19,62,5887.000000,1,1,1,8.556,2.622,0.000
Mica,1,38,54,14872.000000,1,1,1,7.452,5.244,0.000
Mica,1,34,42,9585.000000,1,1,1,5.796,4.692,0.000
Mica,1,73,49,10244.000000,1,1,1,6.762,10.074,0.000
Mica,1,117,23,8047.000000,1,1,1,3.174,16.146,0.000
Mica,1,123,12,8849.000000,1,1,1,1.656,16.974,0.000
Mica,1,146,10,7942.000000,1,1,1,1.380,20.148,0.000
Mica,1,169,18,11818.000000,1,1,1,2.484,23.322,0.000
Mica,1,183,1,9723.000000,1,1,1,0.138,25.254,0.000
Mica,1,204,38,9594.000000,1,1,1,5.244,28.152,0.000
Mica,1,127,304,5804.000000,1,1,1,41.952,17.526,0.000
Mica,1,134,332,7482.000000,1,1,1,45.816,18.492,0.000
Mica,1,193,310,9609.000000,1,1,1,42.780,26.634,0.000
Mica,1,196,287,9155.000000,1,1,1,39.606,27.048,0.000
Mica,1,208,340,8236.000000,1,1,1,46.920,28.704,0.000
Mica,1,251,292,8902.000000,1,1,1,40.296,34.638,0.000
Mica,1,118,358,5678.000000,1,1,1,49.404,16.284,0.000
Mica,1,107,371,5817.000000,1,1,1,51.198,14.766,0.000
Mica,1,128,398,9683.000000,1,1,1,54.924,17.664,0.000
Mica,1,152,371,8974.000000,1,1,1,51.198,20.976,0.000
Mica,1,172,418,7255.000000,1,1,1,57.684,23.736,0.000
Mica,1,179,404,7946.000000,1,1,1,55.752,24.702,0.000
Mica,1,188,415,9872.000000,1,1,1,57.270,25.944,0.000
Mica,1,208,414,9559.000000,1,1,1,57.132,28.704,0.000
Mica,1,144,434,6304.000000,1,1,1,59.892,19.872,0.000
Mica,1,118,412,5338.000000,1,1,1,56.856,16.284,0.000
Mica,1,93,441,6396.000000,1,1,1,60.858,12.834,0.000
Mica,1,55,454,9663.000000,1,1,1,62.652,7.590,0.000
Mica,1,59,470,7281.000000,1,1,1,64.860,8.142,0.000
Mica,1,63,482,6113.000000,1,1,1,66.516,8.694,0.000
Mica,1,31,476,9536.000000,1,1,1,65.688,4.278,0.000
Mica,1,5,422,7312.000000,1,1,1,58.236,0.690,0.000
Mica,1,4,452,8977.000000,1,1,1,62.376,0.552,0.000
Mica,1,37,402,5652.000000,1,1,1,55.476,5.106,0.000
Mica,1,42,396,8105.000000,1,1,1,54.648,5.796,0.000
Mica,1,46,363,10794.000000,1,1,1,50.094,6.348,0.000
Mica,1,31,344,6045.000000,1,1,1,47.472,4.278,0.000
Mica,1,55,342,7010.000000,1,1,1,47.196,7.590,0.000
Mica,1,62,342,5864.000000,1,1,1,47.196,8.556,0.000
Mica,1,65,336,5637.000000,1,1,1,46.368,8.970,0.000
Mica,1,80,311,9574.000000,1,1,1,42.918,11.040,0.000
Mica,1,48,525,8444.000000,1,1,1,72.450,6.624,0.000
Mica,1,42,536,7287.000000,1,1,1,73.968,5.796,0.000
Mica,1,17,563,9185.000000,1,1,1,77.694,2.346,0.000
Mica,1,38,588,7224.000000,1,1,1,81.144,5.244,0.000
Mica,1,78,589,7113.000000,1,1,1,81.282,10.764,0.000
Mica,1,86,560,9308.000000,1,1,1,77.280,11.868,0.000
Mica,1,110,594,6822.000000,1,1,1,81.972,15.180,0.000
Mica,1,130,584,5861.000000,1,1,1,80.592,17.940,0.000
Mica,1,128,608,6830.000000,1,1,1,83.904,17.664,0.000
Mica,1,86,617,9781.000000,1,1,1,85.146,11.868,0.000
Mica,1,144,516,9739.000000,1,1,1,71.208,19.872,0.000
Mica,1,188,504,10012.000000,1,1,1,69.552,25.944,0.000
Mica,1,180,496,5158.000000,1,1,1,68.448,24.840,0.000
Mica,1,196,478,10985.000000,1,1,1,65.964,27.048,0.000
Mica,1,218,475,6158.000000,1,1,1,65.550,30.084,0.000
Mica,1,190,461,7720.000000,1,1,1,63.618,26.220,0.000
Mica,1,217,520,8398.000000,1,1,1,71.760,29.946,0.000
Mica,1,214,535,9025.000000,1,1,1,73.830,29.532,0.000
Mica,1,226,534,9038.000000,1,1,1,73.692,31.188,0.000
Mica,1,235,512,8613.000000,1,1,1,70.656,32.430,0.000
Mica,1,234,554,9208.000000,1,1,1,76.452,32.292,0.000
Mica,1,198,585,6478.000000,1,1,1,80.730,27.324,0.000
Mica,1,227,626,9696.000000,1,1,1,86.388,31.326,0.000
Mica,1,228,646,9134.000000,1,1,1,89.148,31.464,0.000
Mica,1,188,674,8644.000000,1,1,1,93.012,25.944,0.000
Mica,1,177,674,9669.000000,1,1,1,93.012,24.426,0.000
Mica,1,154,665,10040.000000,1,1,1,91.770,21.252,0.000
Mica,1,136,660,10093.000000,1,1,1,91.080,18.768,0.000
Mica,1,107,659,8645.000000,1,1,1,90.942,14.766,0.000
Mica,1,98,658,6507.000000,1,1,1,90.804,13.524,0.000
Mica,1,78,642,7240.000000,1,1,1,88.596,10.764,0.000
Mica,1,78,668,8708.000000,1,1,1,92.184,10.764,0.000
Mica,1,98,675,8153.000000,1,1,1,93.150,13.524,0.000
Mica,1,25,937,6520.000000,1,1,1,129.306,3.450,0.000
Mica,1,36,937,8693.000000,1,1,1,129.306,4.968,0.000
Mica,1,6,949,7347.000000,1,1,1,130.962,0.828,0.000
Mica,1,4,923,5742.000000,1,1,1,127.374,0.552,0.000
Mica,1,13,914,7600.000000,1,1,1,126.132,1.794,0.000
Mica,1,14,903,8916.000000,1,1,1,124.614,1.932,0.000
Mica,1,62,869,9123.000000,1,1,1,119.922,8.556,0.000
Mica,1,40,851,9922.000000,1,1,1,117.438,5.520,0.000
Mica,1,14,811,10079.000000,1,1,1,111.918,1.932,0.000
Mica,1,10,737,8836.000000,1,1,1,101.706,1.380,0.000
Mica,1,40,683,8919.000000,1,1,1,94.254,5.520,0.000
Mica,1,56,751,9155.000000,1,1,1,103.638,7.728,0.000
Mica,1,38,775,9536.000000,1,1,1,106.950,5.244,0.000
Mica,1,78,785,8796.000000,1,1,1,108.330,10.764,0.000
Mica,1,120,791,5358.000000,1,1,1,109.158,16.560,0.000
Mica,1,136,810,9455.000000,1,1,1,111.780,18.768,0.000
Mica,1,136,727,9672.000000,1,1,1,100.326,18.768,0.000
Mica,1,162,689,7968.000000,1,1,1,95.082,22.356,0.000
Mica,1,196,733,9806.000000,1,1,1,101.154,27.048,0.000
Mica,1,182,737,8731.000000,1,1,1,101.706,25.116,0.000
Mica,1,174,732,5626.000000,1,1,1,101.016,24.012,0.000
Mica,1,174,747,7342.000000,1,1,1,103.086,24.012,0.000
Mica,1,185,752,6626.000000,1,1,1,103.776,25.530,0.000
Mica,1,247,725,8237.000000,1,1,1,100.050,34.086,0.000
Mica,1,218,686,9304.000000,1,1,1,94.668,30.084,0.000
Mica,1,186,693,7511.000000,1,1,1,95.634,25.668,0.000
Mica,1,236,614,8030.000000,1,1,1,84.732,32.568,0.000
Mica,1,213,800,9539.000000,1,1,1,110.400,29.394,0.000
Mica,1,158,859,7886.000000,1,1,1,118.542,21.804,0.000
Mica,1,119,867,5701.000000,1,1,1,119.646,16.422,0.000
Mica,1,69,889,8121.000000,1,1,1,122.682,9.522,0.000
Mica,1,112,845,8985.000000,1,1,1,116.610,15.456,0.000
Mica,1,86,909,7205.000000,1,1,1,125.442,11.868,0.000
Mica,1,84,937,8550.000000,1,1,1,129.306,11.592,0.000
Mica,1,109,945,7954.000000,1,1,1,130.410,15.042,0.000
Mica,1,157,933,6595.000000,1,1,1,128.754,21.666,0.000
Mica,1,162,914,9388.000000,1,1,1,126.132,22.356,0.000
Mica,1,188,901,7837.000000,1,1,1,124.338,25.944,0.000
Mica,1,191,922,8970.000000,1,1,1,127.236,26.358,0.000
Mica,1,238,954,9111.000000,1,1,1,131.652,32.844,0.000
Mica,1,229,925,7326.000000,1,1,1,127.650,31.602,0.000
Mica,1,233,917,6776.000000,1,1,1,126.546,32.154,0.000
Mica,1,226,919,6892.000000,1,1,1,126.822,31.188,0.000
Mica,1,250,916,6845.000000,1,1,1,126.408,34.500,0.000
Mica,1,250,934,8514.000000,1,1,1,128.892,34.500,0.000
Mica,1,178,987,15038.000000,1,1,1,136.206,24.564,0.000
Mica,1,170,1006,8587.000000,1,1,1,138.828,23.460,0.000
Mica,1,181,1015,8818.000000,1,1,1,140.070,24.978,0.000
Mica,1,122,981,9121.000000,1,1,1,135.378,16.836,0.000
Mica,1,107,983,9301.000000,1,1,1,135.654,14.766,0.000
Mica,1,55,1006,5876.000000,1,1,1,138.828,7.590,0.000
Mica,1,8,1015,9870.000000,1,1,1,140.070,1.104,0.000
Mica,1,308,1005,4960.000000,1,1,1,138.690,42.504,0.000
Mica,1,332,1005,9103.000000,1,1,1,138.690,45.816,0.000
Mica,1,346,977,6450.000000,1,1,1,134.826,47.748,0.000
Mica,1,306,972,8912.000000,1,1,1,134.136,42.228,0.000
Mica,1,266,944,9377.000000,1,1,1,130.272,36.708,0.000
Mica,1,302,933,5403.000000,1,1,1,128.754,41.676,0.000
Mica,1,288,903,8225.000000,1,1,1,124.614,39.744,0.000
Mica,1,266,880,8674.000000,1,1,1,121.440,36.708,0.000
Mica,1,288,871,8869.000000,1,1,1,120.198,39.744,0.000
Mica,1,280,836,9723.000000,1,1,1,115.368,38.640,0.000
Mica,1,290,805,6210.000000,1,1,1,111.090,40.020,0.000
Mica,1,274,796,8906.000000,1,1,1,109.848,37.812,0.000
Mica,1,330,854,6766.000000,1,1,1,117.852,45.540,0.000
Mica,1,333,897,6576.000000,1,1,1,123.786,45.954,0.000
Mica,1,346,885,5188.000000,1,1,1,122.130,47.748,0.000
Mica,1,302,774,5168.000000,1,1,1,106.812,41.676,0.000
Mica,1,308,756,9078.000000,1,1,1,104.328,42.504,0.000
Mica,1,303,747,5147.000000,1,1,1,103.086,41.814,0.000
Mica,1,285,751,8984.000000,1,1,1,103.638,39.330,0.000
Mica,1,330,770,6147.000000,1,1,1,106.260,45.540,0.000
Mica,1,346,785,8889.000000,1,1,1,108.330,47.748,0.000
Mica,1,396,775,9296.000000,1,1,1,106.950,54.648,0.000
Mica,1,386,755,6970.000000,1,1,1,104.190,53.268,0.000
Mica,1,438,765,5707.000000,1,1,1,105.570,60.444,0.000
Mica,1,439,776,6570.000000,1,1,1,107.088,60.582,0.000
Mica,1,416,801,9399.000000,1,1,1,110.538,57.408,0.000
Mica,1,420,836,9419.000000,1,1,1,115.368,57.960,0.000
Mica,1,454,843,5708.000000,1,1,1,116.334,62.652,0.000
Mica,1,392,881,8415.000000,1,1,1,121.578,54.096,0.000
Mica,1,408,897,7973.000000,1,1,1,123.786,56.304,0.000
Mica,1,462,934,9202.000000,1,1,1,128.892,63.756,0.000
Mica,1,431,997,6619.000000,1,1,1,137.586,59.478,0.000
Mica,1,724,1007,6778.000000,1,1,1,138.966,99.912,0.000
Mica,1,710,971,5880.000000,1,1,1,133.998,97.980,0.000
Mica,1,668,961,8995.000000,1,1,1,132.618,92.184,0.000
Mica,1,662,989,8423.000000,1,1,1,136.482,91.356,0.000
Mica,1,615,963,7657.000000,1,1,1,132.894,84.870,0.000
Mica,1,586,959,7205.000000,1,1,1,132.342,80.868,0.000
Mica,1,576,934,9087.000000,1,1,1,128.892,79.488,0.000
Mica,1,536,973,8873.000000,1,1,1,134.274,73.968,0.000
Mica,1,584,976,5082.000000,1,1,1,134.688,80.592,0.000
Mica,1,572,996,8236.000000,1,1,1,137.448,78.936,0.000
Mica,1,550,1013,7987.000000,1,1,1,139.794,75.900,0.000
Mica,1,507,935,7763.000000,1,1,1,129.030,69.966,0.000
Mica,1,527,939,9139.000000,1,1,1,129.582,72.726,0.000
Mica,1,489,917,6519.000000,1,1,1,126.546,67.482,0.000
Mica,1,504,868,7455.000000,1,1,1,119.784,69.552,0.000
Mica,1,514,833,9225.000000,1,1,1,114.954,70.932,0.000
Mica,1,473,765,16383.000000,1,1,1,105.570,65.274,0.000
Mica,1,487,733,9987.000000,1,1,1,101.154,67.206,0.000
Mica,1,451,735,9120.000000,1,1,1,101.430,62.238,0.000
Mica,1,567,759,9776.000000,1,1,1,104.742,78.246,0.000
Mica,1,580,819,6511.000000,1,1,1,113.022,80.040,0.000
Mica,1,597,805,9306.000000,1,1,1,111.090,82.386,0.000
Mica,1,580,863,6203.000000,1,1,1,119.094,80.040,0.000
Mica,1,597,866,7300.000000,1,1,1,119.508,82.386,0.000
Mica,1,568,844,9444.000000,1,1,1,116.472,78.384,0.000
Mica,1,582,844,8395.000000,1,1,1,116.472,80.316,0.000
Mica,1,567,867,7389.000000,1,1,1,119.646,78.246,0.000
Mica,1,553,860,7106.000000,1,1,1,118.680,76.314,0.000
Mica,1,545,885,9298.000000,1,1,1,122.130,75.210,0.000
Mica,1,552,890,8596.000000,1,1,1,122.820,76.176,0.000
Mica,1,574,907,9019.000000,1,1,1,125.166,79.212,0.000
Mica,1,626,910,8721.000000,1,1,1,125.580,86.388,0.000
Mica,1,626,891,8443.000000,1,1,1,122.958,86.388,0.000
Mica,1,641,943,7483.000000,1,1,1,130.134,88.458,0.000
Mica,1,664,901,6402.000000,1,1,1,124.338,91.632,0.000
Mica,1,704,857,7969.000000,1,1,1,118.266,97.152,0.000
Mica,1,690,846,8814.000000,1,1,1,116.748,95.220,0.000
Mica,1,682,835,7505.000000,1,1,1,115.230,94.116,0.000
Mica,1,670,857,9378.000000,1,1,1,118.266,92.460,0.000
Mica,1,677,869,8518.000000,1,1,1,119.922,93.426,0.000
Mica,1,707,825,5749.000000,1,1,1,113.850,97.566,0.000
Mica,1,699,803,9014.000000,1,1,1,110.814,96.462,0.000
Mica,1,717,789,9711.000000,1,1,1,108.882,98.946,0.000
Mica,1,693,733,8723.000000,1,1,1,101.154,95.634,0.000
Mica,1,654,757,8440.000000,1,1,1,104.466,90.252,0.000
Mica,1,628,751,9710.000000,1,1,1,103.638,86.664,0.000
Mica,1,620,757,10413.000000,1,1,1,104.466,85.560,0.000
Mica,1,606,764,6292.000000,1,1,1,105.432,83.628,0.000
Mica,1,614,791,8217.000000,1,1,1,109.158,84.732,0.000
Mica,1,748,735,16288.000000,1,1,1,101.430,103.224,0.000
Mica,1,680,684,5013.000000,1,1,1,94.392,93.840,0.000
Mica,1,663,676,7533.000000,1,1,1,93.288,91.494,0.000
Mica,1,642,702,8808.000000,1,1,1,96.876,88.596,0.000
Mica,1,622,716,8567.000000,1,1,1,98.808,85.836,0.000
Mica,1,620,691,9312.000000,1,1,1,95.358,85.560,0.000
Mica,1,598,654,9583.000000,1,1,1,90.252,82.524,0.000
Mica,1,538,675,8986.000000,1,1,1,93.150,74.244,0.000
Mica,1,518,603,8245.000000,1,1,1,83.214,71.484,0.000
Mica,1,529,581,8919.000000,1,1,1,80.178,73.002,0.000
Mica,1,557,591,9647.000000,1,1,1,81.558,76.866,0.000
Mica,1,614,603,9321.000000,1,1,1,83.214,84.732,0.000
Mica,1,624,573,16087.000000,1,1,1,79.074,86.112,0.000
Mica,1,634,564,5816.000000,1,1,1,77.832,87.492,0.000
Mica,1,657,565,8535.000000,1,1,1,77.970,90.666,0.000
Mica,1,648,547,9043.000000,1,1,1,75.486,89.424,0.000
Mica,1,618,539,7661.000000,1,1,1,74.382,85.284,0.000
Mica,1,679,553,10953.000000,1,1,1,76.314,93.702,0.000
Mica,1,720,527,12716.000000,1,1,1,72.726,99.360,0.000
Mica,1,747,553,6275.000000,1,1,1,76.314,103.086,0.000
Mica,1,743,541,6836.000000,1,1,1,74.658,102.534,0.000
Mica,1,679,595,6464.000000,1,1,1,82.110,93.702,0.000
